pmid,nct_id,reference_type,citation_count
21947289,NCT00153101,one-to-one,26
21969009,NCT00000542,one-to-one,12
21969009,NCT00000542,one-to-one,12
21969009,NCT00000542,one-to-one,12
21969017,NCT00530894,one-to-one,69
21974760,NCT00425997,one-to-one,3
21974763,NCT00406614,one-to-one,10
21979491,NCT00167700,one-to-one,23
21979491,NCT00167700,one-to-one,23
21986283,NCT00758524,one-to-one,55
21991892,NCT00292552,one-to-one,271
21992747,NCT00142805,one-to-one,9
21998259,NCT01216579,one-to-one,8
22016505,NCT00047437,one-to-one,55
22019270,NCT00000620,one-to-one,8
22019270,NCT00000620,one-to-one,8
22024920,NCT00837967,one-to-one,1
22030252,NCT00406614,one-to-one,12
22034996,NCT01014741,one-to-one,8
22034996,NCT01014741,one-to-one,8
22049171,NCT00000620,one-to-one,26
22049171,NCT00000620,one-to-one,26
22054035,NCT00292552,one-to-one,54
22075451,NCT00389220,one-to-one,58
22080838,NCT00292552,one-to-one,112
22082198,NCT01151137,one-to-one,122
22082198,NCT01151137,one-to-one,122
22090660,NCT00391872,one-to-one,71
22090660,NCT00391872,one-to-one,71
22093210,NCT00389220,one-to-one,10
22114101,NCT00047437,one-to-one,55
22118061,NCT01345409,one-to-one,13
22118061,NCT01345409,one-to-one,13
22118987,NCT00292552,one-to-one,40
22129475,NCT00716079,one-to-one,0
22129475,NCT00716079,one-to-one,0
22129475,NCT00716079,one-to-one,0
22135385,NCT00327691,one-to-one,8
22135385,NCT00327691,one-to-one,8
22137073,NCT00047437,one-to-one,6
22149452,NCT00801034,one-to-one,16
22152723,NCT00465985,one-to-one,29
22157519,NCT00098137,one-to-one,36
22157519,NCT00098137,one-to-one,36
22163120,NCT00535197,one-to-one,57
22163120,NCT01019733,one-to-one,57
22163120,NCT00761982,one-to-one,57
22163120,NCT00535197,one-to-one,57
22163120,NCT01019733,one-to-one,57
22163120,NCT00761982,one-to-one,57
22163120,NCT00535197,one-to-one,57
22163120,NCT01019733,one-to-one,57
22163120,NCT00761982,one-to-one,57
22179034,NCT01185392,one-to-one,20
22179530,NCT00391872,one-to-one,1
22179530,NCT00391872,one-to-one,1
22179956,NCT00000620,one-to-one,50
22179956,NCT00000620,one-to-one,50
22186969,NCT01247545,one-to-one,35
22192672,NCT00153101,one-to-one,44
22198979,NCT00151177,one-to-one,21
22198979,NCT00151177,one-to-one,21
22198979,NCT00151177,one-to-one,21
22200381,NCT00803257,one-to-one,7
22200381,NCT00803257,one-to-one,7
22210755,NCT00903682,one-to-one,7
22217936,NCT01058980,one-to-one,6
22217936,NCT01058980,one-to-one,6
22222143,NCT00780533,one-to-one,27
22222143,NCT00780533,one-to-one,27
22228076,NCT00524446,one-to-one,48
22228076,NCT00167700,one-to-one,48
22228076,NCT00524446,one-to-one,48
22228076,NCT00167700,one-to-one,48
22228827,NCT00464464,one-to-one,18
22235820,NCT00000542,one-to-one,14
22235820,NCT00000542,one-to-one,14
22235820,NCT00000542,one-to-one,14
22258995,NCT02436785,one-to-one,18
22261200,NCT00391872,one-to-one,37
22261200,NCT00391872,one-to-one,37
22282104,NCT00121485,one-to-one,70
22282884,NCT00868283,one-to-one,29
22282884,NCT00868283,one-to-one,29
22282884,NCT00868283,one-to-one,29
22298167,NCT00542503,one-to-one,2
22308299,NCT00530894,one-to-one,53
22345126,NCT00658515,one-to-one,55
22349989,NCT01423188,one-to-one,27
22349989,NCT01423188,one-to-one,27
22354598,NCT00159887,one-to-one,8
22373905,NCT00089895,one-to-one,5
22373905,NCT00089895,one-to-one,5
22374637,NCT00000620,one-to-one,85
22374637,NCT00000620,one-to-one,85
22396585,NCT00000542,one-to-one,15
22396585,NCT00000542,one-to-one,15
22396585,NCT00000542,one-to-one,15
22403632,NCT00330980,one-to-one,11
22409644,NCT00464464,one-to-one,12
22421927,NCT00603291,one-to-one,128
22421927,NCT00603291,one-to-one,128
22424519,NCT00530894,one-to-one,50
22427534,NCT00292552,one-to-one,112
22431578,NCT00000542,one-to-one,19
22431578,NCT00000542,one-to-one,19
22431578,NCT00000542,one-to-one,19
22432114,NCT00000620,one-to-one,31
22432114,NCT00000620,one-to-one,31
22438232,NCT01216579,one-to-one,3
22440496,NCT00389220,one-to-one,9
22443427,NCT00526474,one-to-one,217
22443427,NCT00526474,one-to-one,217
22443427,NCT00526474,one-to-one,217
22443478,NCT00530894,one-to-one,204
22443479,NCT00530894,one-to-one,375
22450889,NCT00000620,one-to-one,12
22450889,NCT00000620,one-to-one,12
22450943,NCT00330980,one-to-one,12
22456661,NCT01088958,one-to-one,14
22457244,NCT00483808,one-to-one,15
22457291,NCT01471795,one-to-one,9
22457291,NCT01471795,one-to-one,9
22461416,NCT00327691,one-to-one,40
22461416,NCT00327691,one-to-one,40
22467989,NCT00544752,one-to-one,4
22467989,NCT00544752,one-to-one,4
22470539,NCT00000542,one-to-one,8
22470539,NCT00000542,one-to-one,8
22470539,NCT00000542,one-to-one,8
22490878,NCT00000542,one-to-one,18
22490878,NCT00000542,one-to-one,18
22490878,NCT00000542,one-to-one,18
22492366,NCT01088958,one-to-one,39
22495138,NCT00153101,one-to-one,15
22499292,NCT00059306,one-to-one,3
22499292,NCT00059306,one-to-one,3
22506623,NCT00554619,one-to-one,3
22512894,NCT00235755,one-to-one,11
22512894,NCT00235755,one-to-one,11
22515638,NCT00000620,one-to-one,6
22515638,NCT00000620,one-to-one,6
22523379,NCT01061931,one-to-one,7
22523379,NCT01061931,one-to-one,7
22539545,NCT00130039,one-to-one,14
22539545,NCT00130039,one-to-one,14
22539545,NCT00130039,one-to-one,14
22540524,NCT01046942,one-to-one,4
22541178,NCT00747838,one-to-one,1
22541178,NCT00747838,one-to-one,1
22541418,NCT00164736,one-to-one,44
22543981,NCT00388622,one-to-one,3
22546885,NCT00391872,one-to-one,4
22546885,NCT00391872,one-to-one,4
22547421,NCT00867048,one-to-one,68
22552566,NCT00153101,one-to-one,0
22555165,NCT00038480,one-to-one,46
22559260,NCT01057563,one-to-one,1
22559260,NCT01057563,one-to-one,1
22560018,NCT00047437,one-to-one,22
22572767,NCT00478205,one-to-one,10
22572911,NCT00391872,one-to-one,29
22572911,NCT00391872,one-to-one,29
22575316,NCT00327691,one-to-one,15
22575316,NCT00327691,one-to-one,15
22576673,NCT00159835,one-to-one,30
