"nct_id","citationSum","citationAvg"
"NCT01570777",159,31.8
"NCT01571466",36,18
"NCT01573143",57,28.5
"NCT01573767",3,3
"NCT01581515",4,4
"NCT01583244",0,0
"NCT01587183",4,2
"NCT01587404",15,7.5
"NCT01588795",12,12
"NCT01592734",6,6
"NCT01604655",11,11
"NCT01607372",7,7
"NCT01615510",0,0
"NCT01617421",8,4
"NCT01637909",5,5
"NCT01644188",134,33.5
"NCT01656850",7,7
"NCT01657461",935,116.875
"NCT01659619",1,1
"NCT01659671",19,4.75
"NCT01668407",14,7
"NCT01670669",11,11
"NCT01677156",0,0
"NCT01689077",40,10
"NCT01691508",260,86.6666666666667
"NCT01691742",0,0
"NCT01706146",13,13
"NCT01707667",6,6
"NCT01709045",3,1.5
"NCT01709578",45,22.5
"NCT01709682",7,7
"NCT01718483",0,0
"NCT01718509",0,0
"NCT01719276",3,3
"NCT01721213",1,1
"NCT01727297",29,29
"NCT01727648",15,7.5
"NCT01729247",6,6
"NCT01730534",480,96
"NCT01732822",68,8.5
"NCT01734096",1,1
"NCT01743001",7,7
"NCT01751646",14,7
"NCT01752556",17,17
"NCT01755091",10,10
"NCT01759797",5,5
"NCT01768572",8,8
"NCT01770106",17,17
"NCT01771042",9,4.5
"NCT01771640",5,5
"NCT01772823",22,22
"NCT01773512",5,5
"NCT01774877",4,2
"NCT01777503",13,6.5
"NCT01778335",1158,115.8
"NCT01785628",9,9
"NCT01790854",2,2
"NCT01794416",19,19
"NCT01795742",2,2
"NCT01806077",27,27
"NCT01808313",1,1
"NCT01809990",25,25
"NCT01812200",4,4
"NCT01812993",2,2
"NCT01813851",4,4
"NCT01820156",12,12
"NCT01827683",15,15
"NCT01828567",5,2.5
"NCT01830673",31,31
"NCT01839110",2,2
"NCT01840072",82,20.5
"NCT01850875",11,5.5
"NCT01859013",12,12
"NCT01863394",16,16
"NCT01863576",3,1.5
"NCT01873443",11,11
"NCT01875094",3,3
"NCT01882881",5,5
"NCT01885104",0,0
"NCT01909414",27,27
"NCT01916369",37,18.5
"NCT01917955",6,6
"NCT01923610",7,7
"NCT01928771",189,47.25
"NCT01946035",2,2
"NCT01949948",38,9.5
"NCT01959282",17,17
"NCT01962545",9,9
"NCT01966250",7,3.5
"NCT01966549",6,6
"NCT01968122",26,8.66666666666667
"NCT01969149",5,5
"NCT01971242",94,94
"NCT01972568",26,26
"NCT01975428",31,31
"NCT01984034",2,1
"NCT01993888",4,2
"NCT01993940",28,28
"NCT01995383",9,9
"NCT02001532",3,3
"NCT02007629",21,10.5
"NCT02016170",2,2
"NCT02024061",13,6.5
"NCT02026713",2,2
"NCT02034357",5,5
"NCT02040441",40,20
"NCT02047071",20,10
"NCT02050425",22,11
"NCT02051621",9,9
"NCT02052037",8,4
"NCT02054247",3,3
"NCT02061878",11,11
"NCT02063880",25,6.25
"NCT02072590",44,44
"NCT02072876",4,2
"NCT02073422",6,3
"NCT02077582",25,5
"NCT02082704",3,3
"NCT02083757",1,1
"NCT02084524",0,0
"NCT02099578",3,3
"NCT02100501",18,18
"NCT02104947",525,131.25
"NCT02105948",82,82
"NCT02105961",83,41.5
"NCT02106351",0,0
"NCT02109666",22,5.5
"NCT02111122",9,9
"NCT02122471",8,8
"NCT02122484",2,2
"NCT02136433",7,7
"NCT02147405",42,42
"NCT02148679",17,8.5
"NCT02149875",17,17
"NCT02155894",9,9
"NCT02169778",8,8
"NCT02191111",5,2.5
"NCT02201004",15,15
"NCT02212119",1,1
"NCT02217657",0,0
"NCT02230241",0,0
"NCT02238392",3,3
"NCT02260557",6,6
"NCT02264353",3,3
"NCT02268214",77,25.6666666666667
"NCT02272283",4,4
"NCT02278289",3,3
"NCT02282033",4,4
"NCT02283047",10,10
"NCT02303964",3,1.5
"NCT02311985",4,4
"NCT02313909",66,66
"NCT02321618",52,26
"NCT02323412",5,5
"NCT02344758",42,42
"NCT02348723",59,29.5
"NCT02351661",9,9
"NCT02354040",6,3
"NCT02371499",11,11
"NCT02383238",50,16.6666666666667
"NCT02388061",45,22.5
"NCT02392767",5,5
"NCT02408939",0,0
"NCT02411539",7,7
"NCT02413398",16,16
"NCT02414854",123,61.5
"NCT02415595",5,5
"NCT02419573",26,26
"NCT02436785",18,18
"NCT02442830",6,6
"NCT02446678",12,12
"NCT02460848",10,10
"NCT02463227",159,79.5
"NCT02471963",18,6
"NCT02480062",17,5.66666666666667
"NCT02511249",10,2
"NCT02512276",8,8
"NCT02514356",8,8
"NCT02516878",2,2
"NCT02526732",2,1
"NCT02528214",81,81
"NCT02528279",5,5
"NCT02533843",17,8.5
"NCT02559791",25,25
"NCT02577484",4,4
"NCT02578199",8,4
"NCT02580851",2,1
"NCT02586415",497,55.2222222222222
"NCT02597127",111,37
"NCT02624180",542,542
"NCT02639988",50,50
"NCT02675972",6,6
"NCT02686320",5,5
"NCT02687178",2,2
"NCT02705807",0,0
"NCT02721914",1,1
"NCT02727543",34,34
"NCT02729649",3,3
"NCT02766660",2,2
"NCT02767739",11,5.5
"NCT02804412",6,6
"NCT02847962",4,4
"NCT02850276",227,227
"NCT02900729",0,0
"NCT02909920",1,1
"NCT02976376",4,4
"NCT02992639",2,2
"NCT03005457",1,1
"NCT03010683",25,25
"NCT03011762",4,4
"NCT03036020",6,6
"NCT03048708",2,2
"NCT03124017",2,2
"NCT03146026",3,3
"NCT03226262",14,14
"NCT03276598",0,0
"NCT03331822",1,1
"NCT03376269",0,0
"NCT03389165",1,1
"NCT03407105",9,9
"NCT03449641",3,3
