"nct_id","pmid","reference_type"
"NCT00976521",25060015,"one-to-one"
"NCT00976521",24084626,"one-to-one"
"NCT00976521",23866184,"one-to-one"
"NCT00976521",23816023,"one-to-one"
"NCT00976521",22447888,"one-to-one"
"NCT00976521",21392601,"one-to-one"
"NCT00971815",29053851,"one-to-one"
"NCT00979199",28202051,"one-to-one"
"NCT00979199",25711274,"one-to-one"
"NCT00972075",25678831,"one-to-one"
"NCT00973765",20346539,"one-to-one"
"NCT00977665",25498732,"one-to-one"
"NCT00976274",22916320,"one-to-one"
"NCT00979121",26936876,"one-to-one"
"NCT00979121",26832963,"one-to-one"
"NCT00979121",24835849,"one-to-one"
"NCT00979056",24012319,"one-to-one"
"NCT00978211",23320604,"one-to-one"
"NCT00975832",22607892,"one-to-one"
"NCT00979472",25401784,"one-to-one"
"NCT00975403",23590271,"one-to-one"
"NCT00971789",23344409,"one-to-one"
"NCT00970632",26452447,"one-to-one"
"NCT00970632",26299520,"one-to-one"
"NCT00970632",23346990,"one-to-one"
"NCT00970632",22297243,"one-to-one"
"NCT00979108",24405257,"one-to-one"
"NCT00975377",27687471,"one-to-one"
"NCT00976638",24161233,"one-to-one"
"NCT00970710",29486763,"one-to-one"
"NCT00970710",23688259,"one-to-one"
"NCT00970710",22759439,"one-to-one"
"NCT00976807",25703957,"one-to-one"
"NCT00972634",27342412,"one-to-one"
"NCT00970697",21482863,"one-to-one"
"NCT00978575",24251969,"one-to-one"
"NCT00976144",23284643,"one-to-one"
"NCT00979303",21167315,"one-to-one"
"NCT00976092",24816809,"one-to-one"
"NCT00976092",24633823,"one-to-one"
"NCT00974272",20557887,"one-to-one"
"NCT00974272",20200309,"one-to-one"
"NCT00975195",30545350,"one-to-one"
"NCT00975195",27066739,"one-to-one"
"NCT00975195",25196117,"one-to-one"
"NCT00974935",27707765,"one-to-one"
"NCT00977418",29121545,"one-to-one"
"NCT00971607",26296299,"one-to-one"
"NCT02592213",28653440,"one-to-one"
"NCT02592213",27151914,"one-to-one"
"NCT02597556",27266697,"one-to-one"
"NCT02593734",29433613,"one-to-one"
"NCT02594137",29148904,"one-to-one"
"NCT02594241",27477797,"one-to-one"
"NCT02590029",28702870,"one-to-one"
"NCT02591576",27307468,"one-to-one"
"NCT02596009",29898702,"one-to-one"
"NCT02595671",29326093,"one-to-one"
"NCT02597855",27597740,"one-to-one"
"NCT02592642",27660596,"one-to-one"
"NCT02592642",27433335,"one-to-one"
"NCT02592811",28753698,"one-to-one"
"NCT02590484",30922265,"one-to-one"
"NCT02590484",26559634,"one-to-one"
"NCT02593877",29047413,"one-to-one"
"NCT02592681",29654841,"one-to-one"
"NCT02595827",29664951,"one-to-one"
"NCT02595827",28122542,"one-to-one"
"NCT02590796",30223771,"one-to-one"
"NCT02598193",29946005,"one-to-one"
"NCT02599506",30626327,"one-to-one"
"NCT02599506",30342495,"one-to-one"
"NCT02599506",30276473,"one-to-one"
"NCT02597257",29381569,"one-to-one"
"NCT02595853",27760437,"one-to-one"
"NCT00148603",19432972,"one-to-one"
"NCT00143832",18174826,"one-to-one"
"NCT00148967",22016074,"one-to-one"
"NCT00148967",19901194,"one-to-one"
"NCT00148967",18996055,"one-to-one"
"NCT00141128",19375093,"one-to-one"
"NCT00147290",29251799,"one-to-one"
"NCT00147290",20569728,"one-to-one"
"NCT00145691",19182483,"one-to-one"
"NCT00140244",21081243,"one-to-one"
"NCT00148330",18599569,"one-to-one"
"NCT00145548",18684848,"one-to-one"
"NCT00147004",22073145,"one-to-one"
"NCT00147004",18184957,"one-to-one"
"NCT00144924",22480835,"one-to-one"
"NCT00144924",19155060,"one-to-one"
"NCT00145119",25755288,"one-to-one"
